Date,Price
15-08-2017,171
16-08-2017,170
17-08-2017,166.91
18-08-2017,167.41
21-08-2017,167.78
22-08-2017,169.64
23-08-2017,168.71
24-08-2017,167.74
25-08-2017,166.32
28-08-2017,167.24
,
,
,
,
